Time,Transaction ID,Description,Product,Payment method,Status,Amount
"Sep 8, 2023, 6:40 PM",SOP.3358-0948-9077-36532..4,2 TB (Google One),Google One,Visa •••• 5775,Complete,USD 9.99
"Aug 8, 2023, 6:40 PM",SOP.3358-0948-9077-36532..3,2 TB (Google One),Google One,Visa •••• 5775,Complete,USD 9.99
"Jul 8, 2023, 6:40 PM",SOP.3358-0948-9077-36532..2,2 TB (Google One),Google One,Visa •••• 5775,Complete,USD 9.99
"Jun 8, 2023, 6:40 PM",SOP.3358-0948-9077-36532..1,2 TB (Google One),Google One,Visa •••• 5775,Complete,USD 9.99
"May 8, 2023, 6:40 PM",SOP.3358-0948-9077-36532..0,2 TB (Google One),Google One,Visa •••• 5775,Complete,USD 9.99
"Mar 25, 2023, 9:19 PM",SOP.3358-0948-9077-36532,2 TB (Google One),Google One,Visa •••• 5775,Complete,USD 9.99
"Mar 25, 2023, 8:24 AM",SOP.3309-5252-2306-21764,200 GB (Google One),Google One,Visa •••• 5775,Complete,USD 2.99
"Mar 18, 2023, 7:50 AM",SOP.3378-5887-3598-24794..35,100 GB (Google One),Google One,"Visa •••• 0954,Visa •••• 5775",Complete,USD 1.99
"Feb 18, 2023, 6:50 AM",SOP.3378-5887-3598-24794..34,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Jan 18, 2023, 6:50 AM",SOP.3378-5887-3598-24794..33,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Dec 18, 2022, 6:50 AM",SOP.3378-5887-3598-24794..32,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Nov 18, 2022, 6:50 AM",SOP.3378-5887-3598-24794..31,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Oct 18, 2022, 7:50 AM",SOP.3378-5887-3598-24794..30,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Sep 18, 2022, 7:50 AM",SOP.3378-5887-3598-24794..29,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Aug 18, 2022, 7:50 AM",SOP.3378-5887-3598-24794..28,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Jul 18, 2022, 7:50 AM",SOP.3378-5887-3598-24794..27,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Jun 18, 2022, 7:50 AM",SOP.3378-5887-3598-24794..26,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"May 18, 2022, 7:50 AM",SOP.3378-5887-3598-24794..25,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Apr 18, 2022, 7:50 AM",SOP.3378-5887-3598-24794..24,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Mar 18, 2022, 7:50 AM",SOP.3378-5887-3598-24794..23,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Feb 18, 2022, 6:50 AM",SOP.3378-5887-3598-24794..22,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Jan 18, 2022, 6:50 AM",SOP.3378-5887-3598-24794..21,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Dec 18, 2021, 6:50 AM",SOP.3378-5887-3598-24794..20,100 GB (Google One),Google One,Visa •••• 5775,Complete,USD 1.99
"Nov 18, 2021, 8:07 AM",SOP.3378-5887-3598-24794..19,100 GB (Google One),Google One,"Visa •••• 0954,Visa •••• 5775",Complete,USD 1.99
"Oct 18, 2021, 7:50 AM",SOP.3378-5887-3598-24794..18,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
"Sep 18, 2021, 7:50 AM",SOP.3378-5887-3598-24794..17,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
"Aug 18, 2021, 7:50 AM",SOP.3378-5887-3598-24794..16,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
"Jul 18, 2021, 7:50 AM",SOP.3378-5887-3598-24794..15,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
"Jun 18, 2021, 7:50 AM",SOP.3378-5887-3598-24794..14,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
"May 18, 2021, 7:50 AM",SOP.3378-5887-3598-24794..13,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
"Apr 18, 2021, 7:50 AM",SOP.3378-5887-3598-24794..12,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
"Mar 18, 2021, 7:50 AM",SOP.3378-5887-3598-24794..11,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
"Feb 18, 2021, 6:50 AM",SOP.3378-5887-3598-24794..10,100 GB (Google One),Google One,Visa •••• 0954,Complete,USD 1.99
